word,level,word_url,word_class
applicant,b2,https://www.oxfordlearnersdictionaries.com/definition/english/applicant,noun
application,b1,https://www.oxfordlearnersdictionaries.com/definition/english/application,noun
apply,a2,https://www.oxfordlearnersdictionaries.com/definition/english/apply,verb
appoint,c1,https://www.oxfordlearnersdictionaries.com/definition/english/appoint,verb
appointment,b1,https://www.oxfordlearnersdictionaries.com/definition/english/appointment,noun
appreciate,b1,https://www.oxfordlearnersdictionaries.com/definition/english/appreciate,verb
appreciation,c1,https://www.oxfordlearnersdictionaries.com/definition/english/appreciation,noun
approach,b2,https://www.oxfordlearnersdictionaries.com/definition/english/approach_1,noun
approach,b2,https://www.oxfordlearnersdictionaries.com/definition/english/approach_2,verb
appropriate,b2,https://www.oxfordlearnersdictionaries.com/definition/english/appropriate_1,adjective
appropriately,b2,https://www.oxfordlearnersdictionaries.com/definition/english/appropriately,adverb
approval,b2,https://www.oxfordlearnersdictionaries.com/definition/english/approval,noun
approve,b2,https://www.oxfordlearnersdictionaries.com/definition/english/approve,verb
approximately,b1,https://www.oxfordlearnersdictionaries.com/definition/english/approximately,adverb
April,a1,https://www.oxfordlearnersdictionaries.com/definition/english/april,noun
arbitrary,c1,https://www.oxfordlearnersdictionaries.com/definition/english/arbitrary,adjective
architect,a2,https://www.oxfordlearnersdictionaries.com/definition/english/architect_1,noun
architectural,c1,https://www.oxfordlearnersdictionaries.com/definition/english/architectural,adjective
architecture,a2,https://www.oxfordlearnersdictionaries.com/definition/english/architecture,noun
archive,c1,https://www.oxfordlearnersdictionaries.com/definition/english/archive_1,noun
area,a1,https://www.oxfordlearnersdictionaries.com/definition/english/area,noun
arena,c1,https://www.oxfordlearnersdictionaries.com/definition/english/arena,noun
arguably,c1,https://www.oxfordlearnersdictionaries.com/definition/english/arguably,adverb
argue,a2,https://www.oxfordlearnersdictionaries.com/definition/english/argue,verb
argument,a2,https://www.oxfordlearnersdictionaries.com/definition/english/argument,noun
arise,b2,https://www.oxfordlearnersdictionaries.com/definition/english/arise,verb
arm,a1,https://www.oxfordlearnersdictionaries.com/definition/english/arm_1,noun
arm,c1,https://www.oxfordlearnersdictionaries.com/definition/english/arm_2,verb
armed,b2,https://www.oxfordlearnersdictionaries.com/definition/english/armed,adjective
arms,b2,https://www.oxfordlearnersdictionaries.com/definition/english/arms,noun
army,a2,https://www.oxfordlearnersdictionaries.com/definition/english/army,noun
around,a1,https://www.oxfordlearnersdictionaries.com/definition/english/around_2,adverb
around,a1,https://www.oxfordlearnersdictionaries.com/definition/english/around_1,preposition
arrange,a2,https://www.oxfordlearnersdictionaries.com/definition/english/arrange,verb
arrangement,a2,https://www.oxfordlearnersdictionaries.com/definition/english/arrangement,noun
